"country is Burkina Faso, Region is Africa, Sub Region is Western Africa, Papulation is 20903278"
"country is Hong Kong, Region is Asia, Sub Region is Eastern Asia, Papulation is 7500700"
"country is United Arab Emirates, Region is Asia, Sub Region is Western Asia, Papulation is 9890400"
"country is Antigua and Barbuda, Region is Americas, Sub Region is Caribbean, Papulation is 97928"
"country is Comoros, Region is Africa, Sub Region is Eastern Africa, Papulation is 869595"
"country is Pitcairn Islands, Region is Oceania, Sub Region is Polynesia, Papulation is 56"
"country is Bulgaria, Region is Europe, Sub Region is Southeast Europe, Papulation is 6927288"
"country is Djibouti, Region is Africa, Sub Region is Eastern Africa, Papulation is 988002"
"country is Laos, Region is Asia, Sub Region is South-Eastern Asia, Papulation is 7275556"
"country is Lebanon, Region is Asia, Sub Region is Western Asia, Papulation is 6825442"
"country is Panama, Region is Americas, Sub Region is Central America, Papulation is 4314768"
"country is Ecuador, Region is Americas, Sub Region is South America, Papulation is 17643060"
"country is Barbados, Region is Americas, Sub Region is Caribbean, Papulation is 287371"
"country is Isle of Man, Region is Europe, Sub Region is Northern Europe, Papulation is 85032"
"country is Bhutan, Region is Asia, Sub Region is Southern Asia, Papulation is 771612"
"country is Burundi, Region is Africa, Sub Region is Eastern Africa, Papulation is 11890781"
"country is China, Region is Asia, Sub Region is Eastern Asia, Papulation is 1402112000"
"country is Norfolk Island, Region is Oceania, Sub Region is Australia and New Zealand, Papulation is 2302"
"country is Libya, Region is Africa, Sub Region is Northern Africa, Papulation is 6871287"
"country is Bosnia and Herzegovina, Region is Europe, Sub Region is Southeast Europe, Papulation is 3280815"
"country is Tuvalu, Region is Oceania, Sub Region is Polynesia, Papulation is 11792"
"country is Angola, Region is Africa, Sub Region is Middle Africa, Papulation is 32866268"
"country is Madagascar, Region is Africa, Sub Region is Eastern Africa, Papulation is 27691019"
"country is Mauritania, Region is Africa, Sub Region is Western Africa, Papulation is 4649660"
"country is Anguilla, Region is Americas, Sub Region is Caribbean, Papulation is 13452"
"country is Jersey, Region is Europe, Sub Region is Northern Europe, Papulation is 100800"
"country is Cape Verde, Region is Africa, Sub Region is Western Africa, Papulation is 555988"
"country is United States Virgin Islands, Region is Americas, Sub Region is Caribbean, Papulation is 106290"
"country is Northern Mariana Islands, Region is Oceania, Sub Region is Micronesia, Papulation is 57557"
"country is Niue, Region is Oceania, Sub Region is Polynesia, Papulation is 1470"
"country is United States Minor Outlying Islands, Region is Americas, Sub Region is North America, Papulation is 300"
"country is Mexico, Region is Americas, Sub Region is North America, Papulation is 128932753"
"country is Sri Lanka, Region is Asia, Sub Region is Southern Asia, Papulation is 21919000"
"country is Venezuela, Region is Americas, Sub Region is South America, Papulation is 28435943"
"country is Falkland Islands, Region is Americas, Sub Region is South America, Papulation is 2563"
"country is Malawi, Region is Africa, Sub Region is Eastern Africa, Papulation is 19129955"
"country is San Marino, Region is Europe, Sub Region is Southern Europe, Papulation is 33938"
"country is Turks and Caicos Islands, Region is Americas, Sub Region is Caribbean, Papulation is 38718"
"country is Saint Pierre and Miquelon, Region is Americas, Sub Region is North America, Papulation is 6069"
"country is Suriname, Region is Americas, Sub Region is South America, Papulation is 586634"
"country is Guinea, Region is Africa, Sub Region is Western Africa, Papulation is 13132792"
"country is Zimbabwe, Region is Africa, Sub Region is Southern Africa, Papulation is 14862927"
"country is Rwanda, Region is Africa, Sub Region is Eastern Africa, Papulation is 12952209"
"country is Kyrgyzstan, Region is Asia, Sub Region is Central Asia, Papulation is 6591600"
"country is Russia, Region is Europe, Sub Region is Eastern Europe, Papulation is 144104080"
"country is Uzbekistan, Region is Asia, Sub Region is Central Asia, Papulation is 34232050"
"country is Belgium, Region is Europe, Sub Region is Western Europe, Papulation is 11555997"
"country is Åland Islands, Region is Europe, Sub Region is Northern Europe, Papulation is 29458"
"country is Western Sahara, Region is Africa, Sub Region is Northern Africa, Papulation is 510713"
"country is Mayotte, Region is Africa, Sub Region is Eastern Africa, Papulation is 226915"
"country is Morocco, Region is Africa, Sub Region is Northern Africa, Papulation is 36910558"
"country is Martinique, Region is Americas, Sub Region is Caribbean, Papulation is 378243"
"country is France, Region is Europe, Sub Region is Western Europe, Papulation is 67391582"
"country is Tanzania, Region is Africa, Sub Region is Eastern Africa, Papulation is 59734213"
"country is Cayman Islands, Region is Americas, Sub Region is Caribbean, Papulation is 65720"
"country is Iran, Region is Asia, Sub Region is Southern Asia, Papulation is 83992953"
"country is Israel, Region is Asia, Sub Region is Western Asia, Papulation is 9216900"
"country is Cameroon, Region is Africa, Sub Region is Middle Africa, Papulation is 26545864"
"country is Singapore, Region is Asia, Sub Region is South-Eastern Asia, Papulation is 5685807"
"country is Croatia, Region is Europe, Sub Region is Southeast Europe, Papulation is 4047200"
"country is Myanmar, Region is Asia, Sub Region is South-Eastern Asia, Papulation is 54409794"
"country is Grenada, Region is Americas, Sub Region is Caribbean, Papulation is 112519"
"country is Canada, Region is Americas, Sub Region is North America, Papulation is 38005238"
"country is Argentina, Region is Americas, Sub Region is South America, Papulation is 45376763"
"country is Réunion, Region is Africa, Sub Region is Eastern Africa, Papulation is 840974"
"country is Malaysia, Region is Asia, Sub Region is South-Eastern Asia, Papulation is 32365998"
"country is Eswatini, Region is Africa, Sub Region is Southern Africa, Papulation is 1160164"
"country is Faroe Islands, Region is Europe, Sub Region is Northern Europe, Papulation is 48865"
"country is Sierra Leone, Region is Africa, Sub Region is Western Africa, Papulation is 7976985"
"country is Uganda, Region is Africa, Sub Region is Eastern Africa, Papulation is 45741000"
"country is American Samoa, Region is Oceania, Sub Region is Polynesia, Papulation is 55197"
"country is Ivory Coast, Region is Africa, Sub Region is Western Africa, Papulation is 26378275"
"country is Equatorial Guinea, Region is Africa, Sub Region is Middle Africa, Papulation is 1402985"
"country is Pakistan, Region is Asia, Sub Region is Southern Asia, Papulation is 220892331"
"country is Monaco, Region is Europe, Sub Region is Western Europe, Papulation is 39244"
"country is Cook Islands, Region is Oceania, Sub Region is Polynesia, Papulation is 18100"
"country is Bolivia, Region is Americas, Sub Region is South America, Papulation is 11673029"
"country is Cyprus, Region is Europe, Sub Region is Southern Europe, Papulation is 1207361"
"country is Fiji, Region is Oceania, Sub Region is Melanesia, Papulation is 896444"
"country is Brazil, Region is Americas, Sub Region is South America, Papulation is 212559409"
"country is Ukraine, Region is Europe, Sub Region is Eastern Europe, Papulation is 44134693"
"country is Palau, Region is Oceania, Sub Region is Micronesia, Papulation is 18092"
"country is Bahrain, Region is Asia, Sub Region is Western Asia, Papulation is 1701583"
"country is Gambia, Region is Africa, Sub Region is Western Africa, Papulation is 2416664"
"country is Poland, Region is Europe, Sub Region is Central Europe, Papulation is 37950802"
"country is Cuba, Region is Americas, Sub Region is Caribbean, Papulation is 11326616"
"country is Jordan, Region is Asia, Sub Region is Western Asia, Papulation is 10203140"
"country is Slovenia, Region is Europe, Sub Region is Central Europe, Papulation is 2100126"
"country is French Southern and Antarctic Lands, Region is Antarctic, Sub Region is undefined, Papulation is 400"
"country is Turkmenistan, Region is Asia, Sub Region is Central Asia, Papulation is 6031187"
"country is Luxembourg, Region is Europe, Sub Region is Western Europe, Papulation is 632275"
"country is Ghana, Region is Africa, Sub Region is Western Africa, Papulation is 31072945"
"country is Moldova, Region is Europe, Sub Region is Eastern Europe, Papulation is 2617820"
"country is Eritrea, Region is Africa, Sub Region is Eastern Africa, Papulation is 5352000"
"country is Spain, Region is Europe, Sub Region is Southern Europe, Papulation is 47351567"
"country is Ethiopia, Region is Africa, Sub Region is Eastern Africa, Papulation is 114963583"
"country is Mozambique, Region is Africa, Sub Region is Eastern Africa, Papulation is 31255435"
"country is Sint Maarten, Region is Americas, Sub Region is Caribbean, Papulation is 40812"
"country is Syria, Region is Asia, Sub Region is Western Asia, Papulation is 17500657"
"country is Bangladesh, Region is Asia, Sub Region is Southern Asia, Papulation is 164689383"
"country is Vietnam, Region is Asia, Sub Region is South-Eastern Asia, Papulation is 97338583"
"country is Netherlands, Region is Europe, Sub Region is Western Europe, Papulation is 16655799"
"country is Andorra, Region is Europe, Sub Region is Southern Europe, Papulation is 77265"
"country is Taiwan, Region is Asia, Sub Region is Eastern Asia, Papulation is 23503349"
"country is Christmas Island, Region is Oceania, Sub Region is Australia and New Zealand, Papulation is 2072"
"country is Samoa, Region is Oceania, Sub Region is Polynesia, Papulation is 198410"
"country is Guinea-Bissau, Region is Africa, Sub Region is Western Africa, Papulation is 1967998"
"country is Puerto Rico, Region is Americas, Sub Region is Caribbean, Papulation is 3194034"
"country is Papua New Guinea, Region is Oceania, Sub Region is Melanesia, Papulation is 8947027"
"country is Guernsey, Region is Europe, Sub Region is Northern Europe, Papulation is 62999"
"country is Uruguay, Region is Americas, Sub Region is South America, Papulation is 3473727"
"country is Australia, Region is Oceania, Sub Region is Australia and New Zealand, Papulation is 25687041"
"country is North Korea, Region is Asia, Sub Region is Eastern Asia, Papulation is 25778815"
"country is Bouvet Island, Region is Antarctic, Sub Region is undefined, Papulation is 0"
"country is Estonia, Region is Europe, Sub Region is Northern Europe, Papulation is 1331057"
"country is Haiti, Region is Americas, Sub Region is Caribbean, Papulation is 11402533"
"country is Algeria, Region is Africa, Sub Region is Northern Africa, Papulation is 44700000"
"country is Togo, Region is Africa, Sub Region is Western Africa, Papulation is 8278737"
"country is French Guiana, Region is Americas, Sub Region is South America, Papulation is 254541"
"country is Dominica, Region is Americas, Sub Region is Caribbean, Papulation is 71991"
"country is São Tomé and Príncipe, Region is Africa, Sub Region is Middle Africa, Papulation is 219161"
"country is Egypt, Region is Africa, Sub Region is Northern Africa, Papulation is 102334403"
"country is Guatemala, Region is Americas, Sub Region is Central America, Papulation is 16858333"
"country is Norway, Region is Europe, Sub Region is Northern Europe, Papulation is 5379475"
"country is Greece, Region is Europe, Sub Region is Southern Europe, Papulation is 10715549"
"country is Belarus, Region is Europe, Sub Region is Eastern Europe, Papulation is 9398861"
"country is Denmark, Region is Europe, Sub Region is Northern Europe, Papulation is 5831404"
"country is Heard Island and McDonald Islands, Region is Antarctic, Sub Region is undefined, Papulation is 0"
"country is Indonesia, Region is Asia, Sub Region is South-Eastern Asia, Papulation is 273523621"
"country is Chile, Region is Americas, Sub Region is South America, Papulation is 19116209"
"country is Palestine, Region is Asia, Sub Region is Western Asia, Papulation is 4803269"
"country is United Kingdom, Region is Europe, Sub Region is Northern Europe, Papulation is 67215293"
"country is Saint Kitts and Nevis, Region is Americas, Sub Region is Caribbean, Papulation is 53192"
"country is Saint Barthélemy, Region is Americas, Sub Region is Caribbean, Papulation is 4255"
"country is Nicaragua, Region is Americas, Sub Region is Central America, Papulation is 6624554"
"country is Tunisia, Region is Africa, Sub Region is Northern Africa, Papulation is 11818618"
"country is Guam, Region is Oceania, Sub Region is Micronesia, Papulation is 168783"
"country is Macau, Region is Asia, Sub Region is Eastern Asia, Papulation is 649342"
"country is French Polynesia, Region is Oceania, Sub Region is Polynesia, Papulation is 280904"
"country is Finland, Region is Europe, Sub Region is Northern Europe, Papulation is 5530719"
"country is Seychelles, Region is Africa, Sub Region is Eastern Africa, Papulation is 98462"
"country is South Georgia, Region is Antarctic, Sub Region is undefined, Papulation is 30"
"country is Jamaica, Region is Americas, Sub Region is Caribbean, Papulation is 2961161"
"country is Slovakia, Region is Europe, Sub Region is Central Europe, Papulation is 5458827"
"country is Guyana, Region is Americas, Sub Region is South America, Papulation is 786559"
"country is Cambodia, Region is Asia, Sub Region is South-Eastern Asia, Papulation is 16718971"
"country is Thailand, Region is Asia, Sub Region is South-Eastern Asia, Papulation is 69799978"
"country is Micronesia, Region is Oceania, Sub Region is Micronesia, Papulation is 115021"
"country is Maldives, Region is Asia, Sub Region is Southern Asia, Papulation is 540542"
"country is Mauritius, Region is Africa, Sub Region is Eastern Africa, Papulation is 1265740"
"country is New Caledonia, Region is Oceania, Sub Region is Melanesia, Papulation is 271960"
"country is Philippines, Region is Asia, Sub Region is South-Eastern Asia, Papulation is 109581085"
"country is Sudan, Region is Africa, Sub Region is Northern Africa, Papulation is 43849269"
"country is United States, Region is Americas, Sub Region is North America, Papulation is 329484123"
"country is Japan, Region is Asia, Sub Region is Eastern Asia, Papulation is 125836021"
"country is Georgia, Region is Asia, Sub Region is Western Asia, Papulation is 3714000"
"country is Tajikistan, Region is Asia, Sub Region is Central Asia, Papulation is 9537642"
"country is Antarctica, Region is Antarctic, Sub Region is undefined, Papulation is 1000"
"country is Republic of the Congo, Region is Africa, Sub Region is Middle Africa, Papulation is 5657000"
"country is Serbia, Region is Europe, Sub Region is Southeast Europe, Papulation is 6908224"
